Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Guava Kush (G/H #B2),"Flower, Inhalable",2016-11-01,,187,,,,,,0.0,0.019,0.011,0.0,0.0,0.0,0.0,0.032,0.0,0.004,0.038,0.165,1.179,0.0,0.449,0.941,,0.494,0.281,0.0,0.0,,0.61,0.0,23.23,0.02,0.0,0.1,0.0,0.0,0.02,0.39,0.09,0.08,
,Watermelon Rancher (WR #A1),"Flower, Inhalable",2016-11-01,,187,,,,,,0.036,0.005,0.0,0.003,0.0,0.043,0.0,0.0,0.012,0.992,0.0,0.027,0.448,0.019,0.088,1.146,,0.252,0.206,0.011,0.0,,0.66,0.01,16.34,0.03,0.0,0.05,0.0,0.01,0.02,0.11,0.09,0.03,
,PSCR-634,"Concentrate, Inhalable",2016-11-02,,64,,,,,,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.181,0.0,0.007,0.354,0.676,0.094,0.0,2.284,0.201,,0.164,0.616,0.0,0.0,,3.35,0.18,68.81,0.09,0.0,0.17,0.0,0.0,0.0,1.32,0.12,0.0,
,STCR-638,"Concentrate, Inhalable",2016-11-02,,64,,,,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.506,0.0,0.0,0.54,1.029,0.084,0.0,3.695,0.318,,0.169,0.793,0.0,0.0,,3.65,0.19,69.97,0.1,0.0,0.18,0.0,0.26,0.0,0.9,0.09,0.11,
,PSCR-639,"Concentrate, Inhalable",2016-11-02,,64,,,,,,0.0,0.035,0.038,0.0,0.0,0.0,0.0,0.326,0.0,0.013,0.327,0.479,0.201,0.0,1.37,0.546,,0.254,0.992,0.0,0.0,,3.27,0.0,72.27,0.11,0.0,0.17,0.0,0.0,0.0,0.97,0.38,0.0,
,Sour Cookies,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.012,0.095,0.0,0.0,0.0,0.0,0.573,0.0,0.0,0.218,0.437,0.068,0.0,1.283,0.224,,0.137,0.796,0.0,0.0,,2.24,0.0,68.92,0.06,0.0,0.2,0.0,0.0,0.0,2.49,0.39,0.0,
,Tiger Diesel,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.016,0.069,0.0,0.0,0.0,0.0,0.171,0.0,0.009,0.608,1.11,0.08,0.0,2.747,0.202,,0.147,0.911,0.0,0.0,,2.11,0.0,69.3,0.13,0.0,0.17,0.0,0.0,0.0,1.58,0.26,0.0,
,Tangie Berry,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.018,0.016,0.229,0.0,0.003,0.017,0.0,0.199,0.0,0.324,0.325,0.852,0.207,0.003,2.169,0.306,,0.196,0.39,0.006,0.0,,2.1,0.0,70.42,0.07,0.0,0.25,0.0,0.0,0.0,2.01,0.32,0.0,
,Do-si-Dos,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.025,0.093,0.0,0.003,0.0,0.0,0.541,0.0,0.01,0.207,0.376,0.133,0.0,1.188,0.201,,0.181,0.769,0.0,0.0,,2.2,0.0,70.13,0.06,0.0,0.17,0.0,0.0,0.0,2.5,0.39,0.0,
,OG Kush,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.013,0.092,0.0,0.0,0.019,0.0,0.12,0.0,0.008,0.547,0.85,0.086,0.0,2.706,0.186,,0.164,0.744,0.0,0.0,,1.94,0.0,67.34,0.12,0.0,0.16,0.0,0.0,0.0,1.93,0.2,0.0,
,Kiskanu Bubble Gum (2312),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.043,0.024,0.239,0.0,0.103,0.812,,0.099,0.026,0.0,0.0,,1.92,0.01,19.09,0.03,0.0,0.06,0.0,0.0,0.0,0.25,0.11,0.06,
